Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
API,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
expand,,,97.91044776,100,100,100,100,100,100,100,100,100,100,100,,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358,31.34328358
reshape,,,100,100,100,100,100,100,100,100,100,100,100,100,,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073,60.42296073
unbind,,,100,100,100,100,100,100,100,100,100,100,100,100,,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082,42.62295082
select,,,100,100,100,100,100,100,100,100,100,100,100,100,,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937,46.8503937
amax,,,84.50657895,87.39309211,91.66118421,93.98848684,95.25493421,96.46381579,97.58223684,98.18256579,98.94736842,99.84375,99.86019737,100,,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895,29.97532895
amin,,,86.95357506,87.16536767,87.36021688,88.18197221,91.51982379,93.70552355,95.28973229,97.48390376,98.91562182,99.23754659,99.47475432,100,,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271,28.59200271
divide,,,97.70037768,98.60679815,98.6319765,98.65295846,99.4334872,99.43768359,99.44187998,99.6223248,99.81955518,99.81955518,99.81955518,100,,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779,18.96768779
subtract,,,96.45510108,97.7307632,98.32941545,98.53627958,98.81209842,99.1788121,99.18508071,99.32299013,99.48597399,99.69910672,99.86209058,100,,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598,17.01927598
isclose,,,97.12943297,98.26864903,99.08283452,99.53337195,99.88092939,99.91954689,99.91954689,99.99678188,99.99678188,99.99678188,100,100,,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115,25.3749115
mul,,,97.80224601,98.92086331,99.10071942,99.82014388,99.82014388,100,100,100,100,100,100,100,,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647,14.9587647
add,,,96.01963879,96.9928108,98.17201473,98.51394003,99.07504822,99.24601087,99.79396809,100,100,100,100,100,,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663,15.54006663
rsub,,,96.69805438,97.72075331,98.21339486,98.4877775,98.65614867,98.81828386,99.12072836,99.2735096,99.42940883,99.46058868,99.71002744,100,,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317,11.45859317
narrow,,,100,100,100,100,100,100,100,100,100,100,100,100,,57.9029734,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862,59.46791862
view,,,100,100,100,100,100,100,100,100,100,100,100,100,,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298,50.83179298
unsqueeze,,,100,100,100,100,100,100,100,100,100,100,100,100,,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938,39.69669938
celu,,,92.51539555,92.51539555,92.51539555,92.51539555,94.41023212,94.41023212,96.25769777,96.25769777,98.15253434,98.15253434,98.15253434,100,,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997,49.73945997
div,,,98.34805261,99.72679332,100,100,100,100,100,100,100,100,100,100,,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624,17.72666624
permute,,,94.59459459,97.2972973,100,100,100,100,100,100,100,100,100,100,,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009,40.09009009
split,,,100,100,100,100,100,100,100,100,100,100,100,100,,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768,50.72463768
flatten,,,100,100,100,100,100,100,100,100,100,100,100,100,,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437,63.73239437
dot,,,100,100,100,100,100,100,100,100,100,100,100,100,,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831,16.89902831
