,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,
Lgamma,,5875,5875,5875,5875,5875,5875,5885,5885,5885,5885,5885,5885,,5876,5876,5876,5876,5876,5876,5876,5876,5876,5876,5876,5876,,5875,5876,5876,5876,5876,5876,5876,5876,5876,5876,5876,5876,,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875
LogicalAnd,,7149,7625,7626,8102,8181,8221,8227,8227,8240,8241,8245,8245,,8092,8181,8187,8242,8250,8253,8253,8291,8291,8303,8303,8303,,7639,7639,7660,8162,8172,8184,8193,8199,8240,8252,8252,8252,,7585,8043,8167,8175,8179,8196,8208,8208,8211,8211,8211,8217,,7939,8073,8090,8103,8152,8173,8174,8212,8212,8212,8212,8212
LogicalOr,,7098,7533,7588,7678,7680,8111,8152,8162,8169,8209,8209,8211,,7114,7594,7605,7605,7649,7653,7692,8117,8159,8159,8159,8225,,7547,7573,7626,8088,8092,8100,8104,8107,8146,8146,8146,8197,,7571,7626,8138,8141,8150,8150,8190,8196,8196,8203,8209,8209,,7974,8085,8101,8180,8186,8195,8236,8236,8242,8242,8248,8250
MatMul,,11822,12123,12126,12222,13080,13182,14809,15060,15288,15382,15382,15406,,7993,8968,9078,9078,9303,9304,9638,14406,14875,15054,15210,15362,,11193,11454,11558,12028,12450,13036,13187,13291,14540,14917,15178,15249,,7015,7890,9800,13163,14644,14825,15037,15098,15169,15239,15288,15304,,8644,8828,10149,10410,11839,13350,14205,14892,15061,15193,15236,15283
Max,,8721,8807,8911,9118,9372,9559,9813,10155,10155,10220,10233,10401,,8099,8128,8601,9490,9768,9896,10026,10029,10029,10029,10044,10044,,7932,8512,8516,8519,8717,8718,8723,8752,8935,8986,8986,8986,,7262,7262,7262,7326,7326,7657,7710,7800,7807,7957,7957,8602,,8859,9185,9389,9719,9719,9728,9877,9939,9939,9945,9945,9945
Mean,,9597,9774,10322,10367,10628,10633,10915,10915,11089,11268,11594,11653,,7783,7870,7873,8420,8434,8485,8825,8883,9487,10006,10278,10600,,7893,8204,8304,8378,8475,8475,8565,8610,8880,8880,9193,9196,,7658,8371,8671,8722,9081,9572,9625,9846,9846,9849,10107,10547,,7817,8034,8038,8044,8134,8142,8392,8433,8489,8489,8489,8489
Mod,,8361,9373,9693,10156,11173,12110,12140,12249,12270,12272,12312,12405,,8246,9779,10206,10880,10883,10951,11242,11595,11985,12040,12040,12109,,8066,8717,9417,10079,10386,10387,10397,10708,10749,11165,11245,11288,,9122,10052,10383,10770,10808,10808,10889,10893,10893,11352,11378,11665,,7961,8722,9469,10125,10127,10475,10478,10479,11147,11161,11175,11240
MulNoNan,,8942,9652,10905,11846,12327,12660,12717,12719,13107,13107,13952,14024,,10270,11119,11526,11760,11818,12252,12990,13004,13011,13095,13472,13555,,8964,10343,10821,11235,11413,11809,12268,12622,13198,13534,13557,13598,,10710,11204,12309,12375,12598,12700,13141,13281,13313,14134,14135,14198,,9272,10503,11195,11628,11782,11905,12528,12534,13857,14075,14125,14174
Pow,,10898,13924,14541,14835,15198,15198,15467,16565,16592,16984,17543,17906,,9314,13195,14197,15231,15231,15882,16668,17066,17531,18159,19118,19350,,11048,12500,13441,14092,14099,14144,15933,16252,16433,16490,16809,16889,,11097,11662,12477,12781,13817,14499,14861,16123,16286,16759,16981,17055,,9985,12443,14622,15279,15743,16063,16775,16959,17022,17310,17505,17666
Prod,,8153,8157,8255,8305,8305,8428,8689,8768,8768,8768,8962,8962,,8778,9104,9161,9295,9423,9599,9599,9681,9732,9792,9823,9915,,7584,7930,7983,8376,8826,8833,8833,8888,9117,9249,9729,9729,,7538,7699,7699,7795,7795,7823,7925,8513,8811,8860,8860,8863,,8061,8223,8428,8830,8905,9328,9703,10021,10021,10021,10083,10272
