Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
Xlogy,,,73.60644147,78.37982136,83.17628894,87.30321352,89.27432505,90.8038845,91.79088325,92.55277702,94.07512157,95.38967692,97.31749903,100,,,12.18741432,18.19454265,20.40663194,21.2810782,22.74137458,23.80052236,24.68074054,25.67928313,25.88851532,25.8971732,26.17855442,26.42963305,,,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938,9.014299938
BiasAdd,,,86.43336589,94.53626216,97.80956031,98.92208611,99.24101017,99.43632026,99.51172479,99.73299381,99.74782748,99.78367554,99.99011088,100,,,7.974337738,8.706132489,10.18084725,11.0399644,11.7111883,12.19328282,13.25512689,13.93253149,14.0944658,14.85716405,16.75587475,17.23549699,,,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125,8.278428125
Softmax,,,98.88793841,98.95358784,99.08090795,99.44297452,99.56830525,99.74933853,99.87069051,99.90450992,99.99602125,99.99801062,100,100,,,19.92360793,30.61053972,41.55807985,42.18871228,42.4692144,44.48843177,44.71124197,48.37368452,48.48310024,48.59848409,48.84317743,48.95060378,,,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176,16.259176
Softplus,,,100,100,100,100,100,100,100,100,100,100,100,100,,,21.12658884,22.30926327,22.69637577,22.69637577,23.07434389,23.07739202,23.47060079,23.47060079,23.47060079,23.47060079,23.8485689,23.85466516,,,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921,15.22540921
Softsign,,,99.96839743,100,100,100,100,100,100,100,100,100,100,100,,,18.09562937,18.5665076,19.03106532,19.42925766,19.8558923,20.26988591,21.07575135,21.85949499,21.85949499,22.25768732,22.65587966,22.65587966,,,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865,14.88480865
SerializeTensor,,,99.88919518,99.96756932,99.99459489,99.99729744,100,100,100,100,100,100,100,100,,,9.834603535,10.18323334,11.20209718,11.5372142,11.88584401,12.22366359,12.91822064,13.26144533,13.26144533,13.60737257,13.60737257,13.60737257,,,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406,8.658991406
Multinomial,,,87.13342802,88.71250731,90.36121091,90.97668978,91.32759629,92.66716796,93.22416242,93.92876041,94.24903222,96.70816275,98.3512964,100,,,21.52505083,22.16280948,22.90639708,22.92032194,23.17375442,23.20160414,24.36293759,24.74169382,24.75283371,25.37388253,25.37945247,25.40451723,,,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401,13.16456401
RandomUniformInt,,,81.18245614,81.18245614,82.15087719,82.15087719,82.18596491,82.18596491,83.56842105,83.56842105,83.62807018,83.66666667,100,100,,,25.4245614,29.06315789,33.09824561,34.58245614,36.78245614,39.32631579,39.36842105,40.41754386,41.10526316,41.98245614,43.94035088,44.69473684,,,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526,12.04210526
RegexReplace,,,99.99653871,99.99653871,100,100,100,100,100,100,100,100,100,100,,,19.08206708,19.54241805,19.62202762,19.83662732,19.83662732,19.98892389,19.98892389,19.98892389,20.06507217,20.06507217,20.07199474,20.07199474,,,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116,14.8939116
StringLength,,,100,100,100,100,100,100,100,100,100,100,100,100,,,12.15750861,12.15750861,13.39272346,13.90926785,14.01407396,14.01407396,14.21620003,14.21620003,14.29106154,14.36592304,14.36592304,14.4482707,,,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411,8.867345411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper quartile,,,99.93567677,99.9862974,99.9957901,99.99714138,100,100,100,100,100,100,100,100,,,32.42189729,35.34121209,39.70189171,42.32735977,43.72863627,46.49240783,49.05801995,50.47648344,51.10738039,52.05961315,52.34684301,52.91725191,,,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314,14.00406314
median,,,92.73287174,95.32393151,96.36420966,97.860071,98.26663665,98.44672635,98.81921425,99.33320354,99.52234011,99.67633603,99.91138457,100,,,18.82325432,19.54241805,21.10675357,22.26659567,23.07434389,23.20160414,23.60065023,24.23977028,24.75283371,25.37388253,25.37945247,25.40451723,,,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205,10.94703205
lower quartile,,,74.63001362,78.70564241,82.66358307,87.15463469,89.07170788,91.11192072,93.04854926,95.11729681,95.95689389,97.18977228,98.91843401,100,,,14.5357804,16.79757755,17.97055852,18.24759566,18.88799999,18.91851105,19.48634966,19.49309198,19.78299947,19.95128513,20.06936609,20.37864783,,,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807,8.702770807
