Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
Round,6546.8,,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.8,6546.8,6546.8,,,1262.2,1276,1276.4,1303.2,1303.2,1303.8,1337.8,1338.2,1338.2,1338.2,1338.2,1338.2,,,830.8,830.8,830.8,830.8,830.8,830.8,830.8,830.8,830.8,830.8,830.8,830.8
Rsqrt,6663.4,,6653.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,,,1694,1753.8,1807.2,1829.4,1897.2,1899,1920.4,1947.6,1948.4,1948.8,1970.2,1991.6,,,591.6,591.6,591.6,591.6,591.6,591.6,591.6,591.6,591.6,591.6,591.6,591.6
SegmentMax,9181.2,,7449.2,7629.8,7798.4,7988.2,8295.2,8446.2,8710.4,8893.4,8918.8,9062.2,9157.6,9181.2,,,4030.2,4276.4,4563,4714.8,4768.4,4883.8,5052,5111,5111.4,5202.4,5369.2,5432.2,,,867.6,867.6,867.6,867.6,867.6,867.6,867.6,867.6,867.6,867.6,867.6,867.6
SegmentMean,9031,,7728.6,7915.2,7985.2,8176.4,8395.8,8508.4,8622.4,8691.8,8809.4,8904.2,8989.2,9031,,,4359.8,4713,4859.6,5155,5246,5316.4,5438.4,5493.8,5516,5516.4,5579.8,5708,,,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2,1058.2
SelectV2,30456.4,,24588,26120.4,27589.6,28246.8,28538,29025.6,29289.8,29475,29753.8,30051.8,30263.8,30456.4,,,3921.4,4472.4,4820.6,5024.6,5908,6292.2,6299.6,6358.6,6363.4,6448.8,6457.6,6573.8,,,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938,1938
Sigmoid,6760.8,,6760.2,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,6760.8,,,1325.2,1403.2,1479.8,1505.4,1531.2,1556,1556,1556,1556.4,1556.4,1556.6,1556.6,,,610,610,610,610,610,610,610,610,610,610,610,610
Sign,7382,,7370.2,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,7382,,,1693.6,1704.8,1737,1737.6,1738.2,1738.2,1742.2,1742.2,1742.2,1742.2,1742.2,1742.2,,,914,914,914,914,914,914,914,914,914,914,914,914
Sin,6571.8,,6569.4,6569.4,6569.8,6569.8,6569.8,6569.8,6571.8,6571.8,6571.8,6571.8,6571.8,6571.8,,,1179.8,1237.8,1241.2,1241.6,1245.2,1245.2,1245.2,1245.2,1271,1271,1274.6,1274.6,,,819.2,819.2,819.2,819.2,819.2,819.2,819.2,819.2,819.2,819.2,819.2,819.2
Sinh,6523,,6520.6,6521,6521,6521,6521,6521,6521,6521,6523,6523,6523,6523,,,1185.8,1190.2,1190.6,1195,1196,1196.2,1196.2,1196.2,1196.2,1199.8,1199.8,1199.8,,,618,618,618,618,618,618,618,618,618,618,618,618
SparseMatMul,10196.6,,9455.6,9719.8,9865.8,9978.4,10051.6,10071.8,10076.2,10090.6,10114.2,10133.6,10175.2,10196.6,,,1876.4,1950.2,3390.8,3691.4,3781.8,3905.6,3935.6,3951.8,3952.8,3981.8,4010.8,4012,,,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8,1995.8
Sum,9954.6,,7882.4,8001.8,8086.2,8180.6,8306.2,8420.2,8577.6,8653.4,8797.2,9032.2,9488.2,9574.6,,,7762.2,8184.2,8500,8668.2,8938.6,9151.2,9328.6,9478.2,9693.2,9803.2,9910.8,9954.6,,,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4,1874.4
Tanh,6584,,6583.6,6583.6,6584,6584,6584,6584,6584,6584,6584,6584,6584,6584,,,1301.2,1301.8,1303,1303.4,1303.4,1303.4,1303.4,1328.8,1353.6,1353.6,1353.6,1353.6,,,646.2,646.2,646.2,646.2,646.2,646.2,646.2,646.2,646.2,646.2,646.2,646.2
TruncateDiv,19471.2,,11614.6,14106.2,15189.2,16395.2,17421.4,17810,18300.8,18774.4,19081.8,19164.2,19249.4,19471.2,,,828.2,1185.4,1441.2,1643,1762.2,1888,1911.6,2003.2,2063.4,2244.8,2433,2506.4,,,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4,1013.4
TruncateMod,11961.8,,9133.6,10049.4,10362.2,10728.4,10997.8,11309.6,11385.8,11461.4,11610,11729.2,11951.2,11961.8,,,1349.2,1495.2,1725.2,2054.8,2092.4,2176.4,2342.6,2390.2,2426.2,2598.8,2677.6,2692.6,,,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6,1467.6
Xdivy,13930,,9618,10934.2,11741.8,12229.8,12514.6,12734.8,12937.2,13248.2,13537.4,13773,13814.8,13930,,,1795.2,1938,2494,2847,3038.6,3124.4,3190.2,3376.6,3500.8,3567,3650.4,3668.2,,,990.4,990.4,990.4,990.4,990.4,990.4,990.4,990.4,990.4,990.4,990.4,990.4
Xlog1py,14323,,9620.8,10777.2,11640.6,12183.6,12452.2,12749.2,13174.8,13661.6,13823.8,14011,14154.8,14323,,,1594.4,2337,2674.6,2994.8,3199.4,3268.8,3296.2,3380.6,3420,3421.2,3512.8,3527.6,,,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2,1220.2
