Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
ComplexAbs,5985,,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8,5981.8
Conj,5790.6,,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,,5788.6,5790.6,5790.6,5790.6,5790.6,5790.6,5790.6,5790.6,5790.6,5790.6,5790.6,5790.6
Cumsum,11549.8,,10720.4,11023.8,11106,11323.6,11349.6,11370.4,11399.2,11413,11475.6,11523.4,11525.6,11549.8,,10452.6,10701.8,10888.2,10998.8,11119.6,11154,11243.2,11306.2,11354.2,11431.2,11465.6,11483
Div,20068.4,,11916.6,14619,15865.6,16730.6,17148.8,17564.6,18031,18759.6,19183.2,19341.2,19827.4,20068.4,,13748.4,15092.6,15874.6,16453,17268,17688,17781.2,17933.2,18007.8,18143.8,18339.8,18386.8
DivNoNan,13885.4,,9356.8,10107.8,10849.4,11800.6,12292,12686,12895.8,13273.2,13432,13562.4,13785,13885.4,,10266,10692.4,11057.6,11193.8,11804.6,11847.4,11935.2,12034.6,12040.6,12055.8,12073.8,12150.6
Equal,23916.6,,14018,15643.6,16236.4,17152.2,17999.8,18743,19273.4,19712.6,20273,20673,21130.4,21606.2,,16666.2,18836.6,19705.2,20437.4,21187.2,21658.6,22276.2,22483.8,22699.2,23106.8,23440.4,23916.6
Exp,6618.4,,6614.8,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,,6615.2,6617.2,6618.4,6618.4,6618.4,6618.4,6618.4,6618.4,6618.4,6618.4,6618.4,6618.4
Expm1,6593,,6592.2,6592.6,6592.6,6592.6,6592.6,6592.6,6592.6,6593,6593,6593,6593,6593,,6588.6,6589.8,6591.8,6591.8,6591.8,6591.8,6591.8,6591.8,6591.8,6591.8,6591.8,6591.8
Floor,6125.4,,6121.4,6121.4,6121.4,6123.4,6123.4,6125.4,6125.4,6125.4,6125.4,6125.4,6125.4,6125.4,,6116.2,6116.4,6116.4,6116.4,6116.4,6116.4,6116.4,6116.4,6116.4,6116.4,6116.4,6116.4
FloorMod,20043.2,,11045.4,13348.4,14830.8,15817.2,16960.4,17571,18467.2,18697.4,19004.6,19461.6,19747.6,20043.2,,14033,15264.6,15667.6,15947.2,16353.2,16944.4,17079.4,17609.2,17611.8,17809.4,17820,17957.6
