Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
All,7718.2,,6848.4,6909.8,7004.2,7126.2,7277,7409.2,7454.8,7504,7572.2,7576.6,7601.4,7678.8,,7056.8,7191.2,7245.6,7290,7402,7402.6,7408,7485,7579.8,7657,7661.4,7718.2
Any,7685.4,,6750.2,6877.6,6951.8,6953.8,6996.2,7013.6,7065.4,7178.4,7342,7351.6,7429.4,7450.8,,7104.2,7362,7559.2,7649.4,7649.4,7651,7652,7668.8,7675,7675,7685.4,7685.4
Asin,6561,,6554.6,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,,6455.6,6558.2,6559.8,6561,6561,6561,6561,6561,6561,6561,6561,6561
Asinh,6518.2,,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,6515.4,,6414.8,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2,6518.2
Atan,6596.2,,6592.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,6594.6,,6394.6,6540.8,6544,6595.6,6596.2,6596.2,6596.2,6596.2,6596.2,6596.2,6596.2,6596.2
Atanh,6580.2,,6568.6,6577.6,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,6578.8,,6474.4,6577.6,6577.6,6577.6,6577.6,6577.6,6577.6,6577.6,6580.2,6580.2,6580.2,6580.2
Ceil,6125.4,,6119.4,6119.4,6119.4,6121.4,6123.4,6123.4,6123.4,6123.4,6125.4,6125.4,6125.4,6125.4,,6057.4,6121.6,6122.8,6122.8,6122.8,6122.8,6122.8,6122.8,6122.8,6122.8,6122.8,6122.8
ClipByValue,9417.6,,8028,8310.8,8617.6,8824.2,9062.6,9131.2,9181.6,9286.4,9326.8,9340.4,9386.6,9417.6,,7045.4,7360.4,7467.8,7541.4,7620,7646.2,7710.6,7718,7718,7750.8,7790,7794.2
ComplexAbs,5987.8,,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,5985,,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8,5987.8
Conj,5789.8,,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,5789.8,,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2,5786.2
Cumsum,11549.8,,10720.4,11023.8,11106,11323.6,11349.6,11370.4,11399.2,11413,11475.6,11523.4,11525.6,11549.8,,7351.8,7583.2,7810,7943.2,8227.8,8379.6,8534.4,8618.6,8703.4,8711.2,8937.2,9093.2
Div,20068.4,,11916.6,14619,15865.6,16730.6,17148.8,17564.6,18031,18759.6,19183.2,19341.2,19827.4,20068.4,,10122.4,11398,11605.4,11925,12377.8,13054,13397.8,13594.2,13687.6,13915,13991.8,14172.2
