Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
Sqrt,,,100,100,100,100,100,100,100,100,100,100,100,100,,98.02556903,98.94258916,99.95220742,99.95519446,99.97311667,99.99103889,99.99103889,99.99103889,99.99103889,99.99103889,99.99103889,99.99103889
Square,,,99.63527193,99.8337634,99.98511314,100,100,100,100,100,100,100,100,100,,80.54783644,82.92229059,87.41315998,91.45246129,94.35539897,96.15919015,96.39241763,96.39241763,96.4594085,96.89360857,98.17635967,98.6080786
Sum,,,65.03523044,66.0203627,66.71672085,67.49558588,68.53187241,69.47245095,70.77110939,71.39651161,72.58296068,74.52187258,78.28418673,78.99704625,,69.71337107,78.02346496,83.02338245,86.15039356,88.99358096,91.44403558,93.81528358,95.1964489,95.64528638,95.79709906,97.32182637,100
Tan,,,99.95707497,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,99.96933926,100,100,100,,96.82661352,99.12003679,99.87735704,99.87735704,99.88655527,99.88655527,99.88655527,99.88655527,99.88655527,99.88655527,99.88655527,99.88655527
Tanh,,,99.97570309,99.97570309,99.98177732,99.98177732,99.98177732,99.98177732,99.98177732,99.98177732,99.98177732,99.98177732,99.98177732,99.98177732,,97.75861022,99.23161028,99.24983296,99.99696289,99.99696289,99.99696289,100,100,100,100,100,100
TruncateDiv,,,59.65014997,72.44648507,78.00854596,84.20230905,89.47265705,91.46842516,93.98907104,96.42138132,98.00012326,98.42331238,98.86088171,100,,51.56128025,57.27330622,60.29931386,65.64772587,68.29163072,72.62007478,76.10727639,77.78873413,78.639221,81.62003369,82.8002383,84.5587329
TruncateMod,,,76.35640121,84.0124396,86.62743065,89.68884282,91.94101222,94.54764333,95.1846712,95.81668311,97.05897106,98.0554766,99.91138457,100,,74.2747747,77.79598388,82.0528683,85.23466368,86.73945393,89.45476433,90.85254728,93.95910315,94.28681302,94.67471451,94.85863332,96.03069772
Xdivy,,,69.04522613,78.49389806,84.29145729,87.79468772,89.83919598,91.41995693,92.87293611,95.10552764,97.1816224,98.87293611,99.1730079,100,,68.28427854,79.09404164,83.20028715,88.60301508,90.94472362,92.69633884,95.22038765,96.16941852,96.93467337,97.54773869,99.2246949,99.31945441
Xlog1py,,,67.17028555,75.24401313,81.27207987,85.06318509,86.93849054,89.01207848,91.983523,95.38225232,96.51469664,97.8216854,98.82566501,100,,71.54925644,78.06744397,83.56489562,86.18864763,89.50219926,91.01026321,92.13014033,92.97353906,93.46086714,94.29030231,94.68547092,95.59030929
Xlogy,,,72.57903873,77.28579153,82.01530975,86.08463049,88.02822913,89.53643892,90.50966108,91.26092029,92.76201588,94.05822259,95.95913605,98.60419453,,68.76298341,78.3643038,81.13457215,84.03289605,87.30115819,88.93457784,94.44950343,95.2462935,95.95629037,96.28638912,98.30682109,100
BiasAdd,,,86.43336589,94.53626216,97.80956031,98.92208611,99.24101017,99.43632026,99.51172479,99.73299381,99.74782748,99.78367554,99.99011088,100,,61.6537078,65.28548648,66.81829981,67.0074292,69.86662052,71.22142972,71.90007046,72.8024525,73.20667021,73.33275647,73.41805011,73.62943002
Elu,,,99.93798257,99.93798257,99.93798257,99.96899129,99.96899129,99.96899129,100,100,100,100,100,100,,99.77673726,99.83255295,99.83255295,99.85115818,99.85115818,99.8697634,99.8697634,99.8697634,99.8697634,99.8697634,99.8697634,99.8697634
LogSoftmax,,,97.48117892,98.54036521,98.90477335,99.15505366,99.52146404,99.76773987,99.76773987,99.77574884,99.77975332,99.96195739,100,100,,94.19349672,94.97637354,98.12389877,98.64047733,98.65249079,98.65649527,98.66049976,98.66049976,98.66049976,98.66049976,98.66049976,98.66450424
NthElement,,,93.19210829,94.11875103,95.32455955,95.96265278,96.73446407,97.51565909,98.31796749,98.66516527,99.11089216,99.7044127,99.81232552,100,,79.2385108,84.05705304,86.84636498,88.33368522,88.73249349,89.22983086,89.59579609,90.14474394,90.27846201,91.41858447,91.46550308,91.87134914
Relu,,,99.85512229,100,100,100,100,100,100,100,100,100,100,100,,88.13967194,90.78184854,92.44671447,93.59591396,94.69600236,96.36332384,98.32040075,98.42598959,98.54140065,98.58560063,99.21422257,99.35910028
Relu6,,,99.76499058,100,100,100,100,100,100,100,100,100,100,100,,88.3821579,91.5443144,93.34295088,94.49007609,95.84894246,98.26884147,99.01575261,99.04367452,99.75568327,99.89063918,99.94880983,99.94880983
Softmax,,,98.88793841,98.95358784,99.08090795,99.44297452,99.56830525,99.74933853,99.87069051,99.90450992,99.99602125,99.99801062,100,100,,97.88728191,98.56367,98.69894762,98.80438459,98.80836334,98.90982155,98.99934351,99.09085484,99.27387749,99.27387749,99.27387749,99.39721885
Softplus,,,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,99.94820863,,99.97258104,99.97867414,99.97867414,99.97867414,99.97867414,99.97867414,99.99695345,100,100,100,100,100
Softsign,,,99.96839743,100,100,100,100,100,100,100,100,100,100,100,,98.96343583,99.76298075,99.96523718,99.96523718,99.96523718,99.96523718,99.96523718,99.96523718,99.96523718,99.96523718,99.96523718,99.97155769
SerializeTensor,,,99.88919518,99.96756932,99.99459489,99.99729744,100,100,100,100,100,100,100,100,,81.24966218,84.44948922,88.03578185,90.54375439,92.25717529,93.35441327,95.21917734,96.84881898,97.17582833,97.18663856,97.18663856,97.87849305
Multinomial,,,87.13342802,88.71250731,90.36121091,90.97668978,91.32759629,92.66716796,93.22416242,93.92876041,94.24903222,96.70816275,98.3512964,100,,90.80680647,91.92358036,91.94307517,91.97649483,91.97649483,92.86211602,92.86211602,92.86211602,92.86211602,92.86211602,92.86211602,92.86211602
RandomUniformInt,,,77.59927556,77.59927556,78.52495305,78.52495305,78.55849208,78.55849208,79.87993024,79.87993024,79.93694661,79.97383955,95.58626241,95.58626241,,96.46498524,97.6220821,98.10504427,98.62154548,98.9770593,99.02736786,99.47343708,99.5740542,99.64113228,99.84572042,99.85913603,100
AsString,,,95.96534296,96.69025271,96.78555957,96.78555957,97.36028881,97.36028881,97.74440433,97.78483755,98.9198556,98.9198556,98.9198556,100,,86.76101083,88.94151625,90.71191336,91.39061372,91.49169675,92.29747292,93.3198556,94.24115523,94.53285199,95.12779783,95.76606498,96.07797834
RegexReplace,,,99.82722875,99.82722875,99.83068417,99.83068417,99.83068417,99.83068417,99.83068417,99.83068417,99.83068417,99.83068417,99.83068417,99.83068417,,99.99308915,100,100,100,100,100,100,100,100,100,100,100
StringLength,,,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,99.86169775,,99.95888312,99.96262101,99.96262101,100,100,100,100,100,100,100,100,100
StringLower,,,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,99.82308553,,99.92779001,99.92779001,100,100,100,100,100,100,100,100,100,100
StringUpper,,,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,99.84483816,,100,100,100,100,100,100,100,100,100,100,100,100
UnicodeScript,,,99.96336728,99.96336728,99.96336728,99.96336728,99.96336728,99.96336728,99.96336728,99.96336728,100,100,100,100,,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221,99.86812221
,,,,,,,,,,,,,,,,,,,,,,,,,,,
upper quartile,,,99.90225055,99.93725943,99.95196397,99.9636357,99.96734907,99.96817018,99.96933926,99.96953417,99.98348893,99.9978914,100,100,,97.95642547,99.47577052,99.90077786,99.9432791,99.94768774,99.95902066,99.95902066,99.96286235,99.98105951,99.98196747,99.98902246,100
median,,,95.96534296,96.69025271,97.80956031,98.92066264,99.24101017,99.43632026,99.57796697,99.77574884,99.77975332,99.82308553,99.84483816,100,,86.7935016,88.94151625,91.94307517,92.50389772,94.55565949,95.9109637,96.36264422,96.97857013,97.9127542,98.56492277,99.17067507,99.92419867
lower quartile,,,69.10243845,75.59595299,79.17100043,83.12298052,86.15613552,88.59437983,91.28518811,93.44069008,95.48272949,96.56671034,98.61083791,99.92069363,,69.01720299,77.13214753,80.11419151,82.61495099,85.80602185,88.69881054,90.62094459,92.0866093,92.59751021,92.9872674,93.1803176,93.55152528
