,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,
layer_norm,,131,167,805,1057,1121,1121,1121,1121,1121,1121,1121,1121,,497,1118,1120,1120,1120,1121,1121,1121,1121,1121,1121,1121,,640,1006,1069,1121,1121,1121,1121,1121,1121,1121,1121,1121,,120,120,131,265,644,1048,1109,1120,1121,1121,1121,1121,,120,256,738,1056,1112,1120,1120,1120,1120,1120,1120,1120
local_response_norm,,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,,1615,1615,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,,1615,1615,1615,1615,1615,1615,1615,1615,1616,1616,1616,1616,,1615,1615,1615,1615,1615,1615,1615,1616,1616,1616,1616,1616
log_softmax,,744,744,746,746,746,746,746,746,746,746,746,746,,747,747,747,747,747,747,747,747,747,747,747,747,,747,747,747,747,747,747,747,747,747,747,747,747,,745,747,747,747,747,747,747,747,747,747,747,747,,746,748,748,748,748,748,748,748,748,748,748,748
logsigmoid,,156,156,156,156,156,156,156,156,156,156,156,156,,156,156,156,156,156,156,156,156,156,156,156,156,,156,156,156,156,156,156,156,156,156,156,156,156,,156,156,156,156,156,156,156,156,156,156,156,156,,156,156,156,156,156,156,156,156,156,156,156,156
lp_pool1d,,1078,1078,1078,1078,1083,1083,1083,1083,1083,1083,1083,1083,,1057,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,1084,,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087
lp_pool2d,,955,956,956,956,956,956,956,956,956,956,956,956,,963,963,963,963,963,963,963,963,963,963,963,963,,956,956,956,956,956,956,956,956,956,956,956,956,,960,961,961,961,961,961,961,961,961,961,961,961,,960,960,960,960,960,960,960,960,960,960,960,960
margin_ranking_loss,,1067,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,,1064,1069,1069,1072,1072,1072,1072,1072,1072,1072,1074,1074,,1067,1067,1067,1067,1067,1069,1075,1075,1075,1075,1075,1075,,1064,1066,1066,1071,1071,1071,1074,1074,1074,1074,1074,1074,,1067,1067,1067,1067,1067,1067,1067,1067,1067,1067,1069,1069
max_pool1d,,1115,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,,1129,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181,,1128,1155,1161,1161,1161,1161,1161,1161,1161,1161,1161,1161,,1118,1123,1124,1124,1124,1124,1124,1124,1124,1124,1124,1124,,1018,1044,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126
max_pool2d,,893,899,899,899,899,900,900,917,917,917,917,917,,868,887,887,887,921,921,921,921,921,921,921,921,,900,903,905,905,905,905,905,905,905,905,905,905,,890,918,918,918,918,918,918,918,918,918,918,918,,772,792,832,832,836,836,836,836,836,836,836,836
max_unpool3d,,234,237,237,237,237,237,248,248,248,248,248,248,,233,233,233,233,233,233,233,233,233,233,233,233,,234,237,237,237,237,237,237,237,237,237,237,237,,200,234,234,234,234,234,237,237,237,237,237,237,,234,234,237,237,237,237,237,237,237,237,237,237
mish,,183,183,183,183,183,183,183,183,183,183,183,183,,183,183,183,183,183,183,183,183,183,183,183,183,,183,183,183,183,183,183,183,183,183,183,183,183,,183,183,183,183,183,183,183,183,183,183,183,183,,183,183,183,183,183,183,183,183,183,183,183,183
multilabel_soft_margin_loss,,1145,1146,1146,1146,1146,1146,1151,1151,1151,1151,1151,1151,,1145,1145,1145,1145,1145,1150,1151,1151,1151,1151,1151,1151,,1145,1145,1150,1150,1150,1150,1150,1150,1150,1150,1150,1150,,1145,1145,1145,1145,1145,1150,1150,1150,1151,1151,1151,1151,,1145,1150,1150,1150,1151,1151,1151,1151,1151,1151,1151,1151
nll_loss,,689,809,863,929,988,1097,1162,1192,1223,1224,1259,1259,,735,850,984,1129,1229,1229,1257,1257,1257,1259,1259,1284,,836,923,1002,1003,1116,1126,1162,1234,1234,1234,1234,1259,,696,760,897,981,1087,1174,1174,1209,1254,1254,1282,1282,,658,789,904,990,1142,1167,1193,1193,1193,1193,1213,1244
pad,,1732,1760,1824,1830,1845,1849,1865,1868,1871,1871,1871,1872,,1880,1895,1896,1896,1896,1896,1896,1896,1899,1899,1899,1899,,1873,1878,1888,1888,1893,1893,1899,1899,1899,1899,1899,1899,,1889,1892,1902,1902,1902,1903,1903,1903,1903,1903,1903,1903,,1870,1881,1887,1892,1897,1897,1897,1897,1897,1897,1897,1897
pairwise_distance,,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,,1430,1430,1430,1431,1431,1431,1431,1431,1431,1431,1431,1431,,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,,1431,1431,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1432,1433
pixel_unshuffle,,692,692,692,692,692,692,692,692,692,692,692,692,,692,692,692,692,692,692,692,692,692,692,692,692,,692,692,692,692,692,692,692,692,692,692,692,692,,692,692,692,692,692,692,692,692,692,692,692,692,,692,692,692,692,692,692,692,692,692,692,692,692
poisson_nll_loss,,1340,1341,1342,1342,1342,1342,1342,1345,1345,1345,1345,1345,,1345,1345,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,,1345,1345,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,,1341,1342,1342,1345,1345,1350,1350,1350,1350,1350,1350,1350,,1341,1346,1346,1346,1346,1349,1349,1349,1349,1349,1349,1349
prelu,,668,668,668,668,668,668,668,668,668,668,668,668,,668,668,668,668,668,668,668,668,668,668,668,668,,668,668,668,668,668,668,668,668,668,668,668,668,,668,668,668,668,668,668,668,668,668,668,668,668,,668,668,668,668,668,668,668,668,668,668,668,668
relu,,796,838,880,880,880,880,880,880,880,880,880,880,,882,882,882,882,882,882,882,882,882,882,882,882,,838,880,880,880,880,880,880,880,880,880,880,880,,795,837,837,879,879,879,879,879,879,879,879,879,,820,820,839,839,839,839,839,839,839,839,839,839
relu6,,862,862,862,862,862,862,862,862,862,862,862,862,,860,860,860,860,860,860,860,860,860,860,860,860,,860,860,860,860,860,860,860,860,860,860,860,860,,859,859,859,859,859,859,859,859,859,859,859,859,,860,860,860,860,860,860,860,860,860,860,860,860
selu,,199,199,199,199,199,199,199,199,199,199,199,199,,199,199,199,199,199,199,199,199,199,199,199,199,,199,199,199,199,199,199,199,199,199,199,199,199,,199,199,199,199,199,199,199,199,199,199,199,199,,199,199,199,199,199,199,199,199,199,199,199,199
silu,,227,227,227,227,227,227,227,227,227,227,227,227,,226,226,226,226,226,226,226,226,226,226,226,226,,227,227,227,227,227,227,227,227,227,227,227,227,,227,227,227,227,227,227,227,227,227,227,227,227,,226,227,227,227,227,227,227,227,227,227,227,227
smooth_l1_loss,,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1076,,1073,1075,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,,1071,1071,1071,1071,1071,1071,1071,1071,1071,1071,1072,1072,,1071,1072,1072,1072,1072,1072,1072,1077,1077,1077,1077,1077,,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076
soft_margin_loss,,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1217,1217,,1199,1203,1203,1203,1203,1203,1203,1203,1203,1203,1203,1218,,1185,1185,1185,1200,1200,1215,1215,1215,1215,1215,1215,1215,,1186,1186,1186,1186,1186,1186,1201,1201,1201,1201,1203,1203,,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216
softmax,,655,655,655,655,655,655,655,655,655,655,655,655,,655,655,655,655,655,655,655,655,655,655,655,655,,653,655,655,655,655,655,655,655,655,655,655,655,,656,656,656,656,656,656,656,656,656,656,656,656,,655,655,655,655,655,655,655,655,655,655,655,655
softplus,,180,180,180,180,180,180,180,180,180,180,180,180,,180,180,180,180,180,180,180,180,180,180,180,180,,180,180,180,180,180,180,180,180,180,180,180,180,,180,180,180,180,180,180,180,180,180,180,180,180,,180,180,180,180,180,180,180,180,180,180,180,180
tanhshrink,,728,728,728,728,728,728,728,728,728,728,728,728,,727,727,727,727,727,727,727,727,727,727,727,727,,727,727,727,727,727,727,727,727,727,727,727,727,,728,728,728,728,728,728,728,728,728,728,728,728,,727,727,727,727,727,727,727,727,727,727,727,727
threshold,,484,484,484,485,485,485,485,485,485,485,485,485,,486,486,486,486,486,486,486,486,486,486,486,486,,485,486,486,486,486,486,486,486,486,486,486,486,,485,485,485,485,485,485,485,485,485,485,485,485,,486,486,486,486,486,486,486,486,486,486,486,486
triplet_margin_loss,,1599,1600,1608,1608,1613,1613,1613,1613,1613,1613,1613,1613,,1596,1606,1606,1607,1607,1607,1607,1607,1607,1607,1607,1607,,1600,1612,1612,1612,1612,1612,1612,1613,1613,1613,1613,1614,,1596,1602,1602,1602,1602,1607,1607,1608,1608,1608,1608,1613,,1599,1602,1603,1603,1606,1606,1606,1606,1606,1606,1606,1606
triplet_margin_with_distance_loss,,1326,1327,1333,1334,1334,1334,1334,1335,1335,1335,1335,1335,,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,,1327,1327,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,,1327,1327,1327,1327,1332,1332,1332,1332,1332,1332,1332,1332,,1327,1327,1327,1332,1332,1332,1332,1332,1332,1332,1333,1333
