Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
lp_pool1d,1085.2,1078.8,1084.2,1084.2,1084.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,,,1065.8,1074.2,1075.4,1081.2,1081.4,1081.4,1081.8,1081.8,1081.8,1082,1082,1082,,,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2,800.2
lp_pool2d,959.2,958.8,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,,,857.2,887.4,894.8,900.8,901.4,902,903.6,906.8,911,913.2,915.8,916,,,676.8,676.8,676.8,676.8,676.8,676.8,676.8,676.8,676.8,676.8,676.8,676.8
margin_ranking_loss,1072.2,1065.8,1067.6,1067.6,1069.2,1069.2,1069.6,1071.4,1071.4,1071.4,1071.4,1072.2,1072.2,,,835.6,849.4,861.4,865.2,872,873.6,874.4,875.6,879.2,882.2,882.2,882.2,,,685.4,685.4,685.4,685.4,685.4,685.4,685.4,685.4,685.4,685.4,685.4,685.4
max_pool1d,1142.6,1101.6,1124.8,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,,,628.8,629,629,629,629,629,629,629,629,629,629,629,,,332,332,332,332,332,332,332,332,332,332,332,332
max_pool2d,899.4,864.6,879.8,888.2,888.2,895.8,896,896,899.4,899.4,899.4,899.4,899.4,,,230.2,249.2,251.2,251.2,251.8,251.8,252.2,252.2,252.2,252.2,252.2,252.2,,,247.8,247.8,247.8,247.8,247.8,247.8,247.8,247.8,247.8,247.8,247.8,247.8
max_unpool3d,238.4,227,235,235.6,235.6,235.6,235.6,238.4,238.4,238.4,238.4,238.4,238.4,,,211,214.8,217.8,217.8,221.2,221.2,221.2,221.2,221.2,221.4,221.4,221.4,,,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6,180.6
mish,183,183,183,183,183,183,183,183,183,183,183,183,183,,,105,105,105,105,105,105,105,105,105,105,105,105,,,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8
multilabel_soft_margin_loss,1150.8,1145,1146.2,1147.2,1147.2,1147.4,1149.4,1150.6,1150.6,1150.8,1150.8,1150.8,1150.8,,,989,996.4,1002.6,1009.4,1010.6,1011.8,1011.8,1011.8,1012.2,1013,1013.6,1014.4,,,755.4,755.4,755.4,755.4,755.4,755.4,755.4,755.4,755.4,755.4,755.4,755.4
nll_loss,1265.6,722.8,826.2,930,1006.4,1112.4,1158.6,1189.6,1217,1232.2,1232.8,1249.4,1265.6,,,824,894.4,937,959.4,993.6,1040.6,1063.6,1079.6,1092.2,1099.4,1106.8,1107.2,,,294.2,294.2,294.2,294.2,294.2,294.2,294.2,294.2,294.2,294.2,294.2,294.2
pad,1894,1848.8,1861.2,1879.4,1881.6,1886.6,1887.6,1892,1892.6,1893.8,1893.8,1893.8,1894,,,947.6,1018,1060.4,1081.8,1115,1135.4,1144.8,1153,1181.8,1185.6,1188.4,1193.2,,,478.8,478.8,478.8,478.8,478.8,478.8,478.8,478.8,478.8,478.8,478.8,478.8
