Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
l1_loss,1405.6,,1403.6,1405,1405.2,1405.4,1405.4,1405.6,1405.6,1405.6,1405.6,1405.6,1405.6,1405.6,,,1132,1204,1239.4,1278,1295.2,1299.4,1322,1324.4,1324.8,1334.6,1344.6,1346.8
layer_norm,1120.8,,301.6,533.4,772.6,923.8,1023.6,1106.2,1118.4,1120.6,1120.8,1120.8,1120.8,1120.8,,,220,256.6,256.6,257,258.8,289,317.8,352,386.6,390.8,429.4,445.8
leaky_relu,337,,336.6,337,337,337,337,337,337,337,337,337,337,337,,,126.4,135.2,148.2,190,216.4,216.4,216.4,216.4,249.2,255.4,258,258
linear,2812.6,,2649.2,2728.2,2749.8,2764.2,2776.2,2783.2,2789,2795.2,2798,2803.6,2805.4,2812.6,,,1869.2,1977.8,2126.6,2159.6,2204.6,2226,2240.4,2242.8,2264.6,2277.6,2304.2,2305.6
local_response_norm,1616,,1615.4,1615.4,1615.6,1615.6,1615.6,1615.6,1615.6,1615.8,1616,1616,1616,1616,,,1298.8,1299.8,1327.2,1327.4,1330.4,1344.8,1358.6,1375,1385.2,1399.6,1399.6,1418.2
log_softmax,747,,745.8,746.6,747,747,747,747,747,747,747,747,747,747,,,478.6,525,527.8,528.4,529.6,543,548.2,548.8,551.6,552,554.2,554.2
logsigmoid,156,,156,156,156,156,156,156,156,156,156,156,156,156,,,156,156,156,156,156,156,156,156,156,156,156,156
lp_pool1d,1085.2,,1078.8,1084.2,1084.2,1084.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,,,895.6,895.8,898.6,898.8,902.6,908.2,910.4,910.4,912.4,915.8,918.4,918.4
lp_pool2d,959.2,,958.8,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,,,775.8,792,793.8,796.4,797.4,797.6,799.6,801.2,801.2,801.2,801.2,801.2
margin_ranking_loss,1072.2,,1065.8,1067.6,1067.6,1069.2,1069.2,1069.6,1071.4,1071.4,1071.4,1071.4,1072.2,1072.2,,,913.8,937.2,960,974.2,989.8,998.2,1007.6,1010,1024.6,1028.2,1029.4,1031.6
max_pool1d,1142.6,,1101.6,1124.8,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,,,222.4,277.6,308.2,310.8,313.2,344.2,344.2,344.2,344.2,344.2,344.2,346.6
max_pool2d,899.4,,864.6,879.8,888.2,888.2,895.8,896,896,899.4,899.4,899.4,899.4,899.4,,,231.4,238.6,241.8,241.8,241.8,242,242,242.4,242.4,242.6,256.2,256.2
max_unpool1d,430,,423.2,430,430,430,430,430,430,430,430,430,430,430,,,100.6,184.6,199.4,253,255.4,302.4,347.2,349.6,349.6,349.6,349.6,349.6
max_unpool2d,237,,237,237,237,237,237,237,237,237,237,237,237,237,,,185.4,222.2,225.6,229,232.2,232.4,232.4,235.6,235.6,235.6,235.6,235.6
max_unpool3d,238.4,,227,235,235.6,235.6,235.6,235.6,238.4,238.4,238.4,238.4,238.4,238.4,,,62.2,69,108.4,138.6,175.6,182.4,219.4,220,222.2,222.2,222.2,224.6
mish,183,,183,183,183,183,183,183,183,183,183,183,183,183,,,132.8,150.4,168,168,183,183,183,183,183,183,183,183
mse_loss,1051,,1045.2,1046.6,1047.6,1049.8,1049.8,1049.8,1050.4,1050.4,1050.6,1051,1051,1051,,,879.4,924.6,945.6,951.2,959.4,967.8,968.6,972.6,972.6,981.2,984.4,989.4
multilabel_margin_loss,486.6,,484.4,485.6,486.2,486.2,486.6,486.6,486.6,486.6,486.6,486.6,486.6,486.6,,,364.6,388,398.8,403.4,410.8,411,414.2,423.4,426.2,426.2,435.2,438.4
multilabel_soft_margin_loss,1150.8,,1145,1146.2,1147.2,1147.2,1147.4,1149.4,1150.6,1150.6,1150.8,1150.8,1150.8,1150.8,,,923.2,969.6,1003.6,1012.6,1032.6,1039.2,1054,1055.4,1063.2,1063.2,1081,1083.2
nll_loss,1265.6,,722.8,826.2,930,1006.4,1112.4,1158.6,1189.6,1217,1232.2,1232.8,1249.4,1265.6,,,351,352.8,354.6,354.8,360.2,363.2,363.6,367.8,370,370,383.2,392.2
normalize,1321.4,,1319,1320.2,1321,1321,1321.4,1321.4,1321.4,1321.4,1321.4,1321.4,1321.4,1321.4,,,991.4,1022.6,1042.2,1046,1053,1057.4,1068.4,1070,1070.4,1070.4,1072.6,1072.8
pad,1894,,1848.8,1861.2,1879.4,1881.6,1886.6,1887.6,1892,1892.6,1893.8,1893.8,1893.8,1894,,,956.2,984.2,993.4,1001.6,1052.8,1087.2,1087.6,1099.8,1120.8,1122,1128.8,1136.4
pairwise_distance,1432,,1431.4,1431.4,1431.6,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1432,,,814.2,831.4,854.6,863.2,864.4,866.8,881,883.6,883.6,889,894.8,895.6
pixel_unshuffle,692,,692,692,692,692,692,692,692,692,692,692,692,692,,,175.6,265.4,266.2,269.6,323.4,326.6,333,374.4,374.4,379.6,379.6,468.4
poisson_nll_loss,1348.8,,1342.4,1343.8,1346,1346.6,1346.6,1348.2,1348.2,1348.8,1348.8,1348.8,1348.8,1348.8,,,1085.4,1123.2,1153.4,1176.6,1198,1204.2,1218.6,1220,1227.2,1227.8,1230.8,1230.8
prelu,668,,668,668,668,668,668,668,668,668,668,668,668,668,,,366,401,435.8,468.6,473,481,513.4,513.4,513.8,528.6,536,541.6
relu,872,,826.2,851.4,863.6,872,872,872,872,872,872,872,872,872,,,249.4,249.8,291.4,291.4,291.4,291.4,291.4,292,311.6,311.6,311.6,311.6
relu6,860.2,,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,,,494.2,498.6,571.6,580.6,612.6,613,623.6,625.8,658,686.6,732,739.6
rrelu,811,,811,811,811,811,811,811,811,811,811,811,811,811,,,641,679.4,681.8,708.8,709.2,728.4,731.2,731.2,750,752.6,760,760.8
selu,199,,199,199,199,199,199,199,199,199,199,199,199,199,,,119.2,133.6,150.6,179.4,179.4,179.4,179.4,182,182,184.6,184.6,184.6
silu,226.8,,226.6,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,,,168.6,196,211,211,226,226,226,226,226,226.2,226.2,226.2
smooth_l1_loss,1075.4,,1072.4,1073,1073.2,1073.2,1073.2,1073.2,1073.2,1074.2,1074.2,1074.2,1074.4,1075.4,,,859.4,919.2,939.2,965,983.2,986.4,989.4,993.2,996.6,997.6,1000,1000.2
soft_margin_loss,1213.8,,1197.6,1198.4,1198.4,1201.4,1201.4,1204.4,1207.4,1207.4,1207.4,1207.4,1210.8,1213.8,,,797.2,829.8,853.8,885.8,903,903,918.4,922,944.4,948.4,951.6,955.6
softmax,655.2,,654.8,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,,,467.2,471.4,474.2,490.6,508.6,510,512.2,512.8,513,513.4,514.2,515.2
