Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
linear,2812.6,,2649.2,2728.2,2749.8,2764.2,2776.2,2783.2,2789,2795.2,2798,2803.6,2805.4,2812.6,,2637,2678.4,2698.4,2707.6,2718.8,2723.4,2731.4,2745.6,2752.2,2756.8,2762.8,2766.8
local_response_norm,1616,,1615.4,1615.4,1615.6,1615.6,1615.6,1615.6,1615.6,1615.8,1616,1616,1616,1616,,1615.8,1615.8,1615.8,1615.8,1615.8,1615.8,1615.8,1615.8,1615.8,1616,1616,1616
log_softmax,747,,745.8,746.6,747,747,747,747,747,747,747,747,747,747,,744.8,746.4,747,747,747,747,747,747,747,747,747,747
logsigmoid,156,,156,156,156,156,156,156,156,156,156,156,156,156,,156,156,156,156,156,156,156,156,156,156,156,156
lp_pool1d,1085.4,,1078.8,1084.2,1084.2,1084.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,1085.2,,1085.2,1085.2,1085.2,1085.2,1085.2,1085.4,1085.4,1085.4,1085.4,1085.4,1085.4,1085.4
lp_pool2d,959.2,,958.8,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.2,,954.4,958.4,958.8,958.8,958.8,958.8,958.8,958.8,958.8,958.8,958.8,958.8
margin_ranking_loss,1074.4,,1065.8,1067.6,1067.6,1069.2,1069.2,1069.6,1071.4,1071.4,1071.4,1071.4,1072.2,1072.2,,1064.4,1066.8,1068.4,1069.6,1070.2,1071.4,1072.4,1072.6,1074,1074.4,1074.4,1074.4
max_pool1d,1142.6,,1101.6,1124.8,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,1142.6,,1113.8,1135,1135,1135,1135,1138.8,1138.8,1138.8,1138.8,1138.8,1138.8,1138.8
max_pool2d,918,,864.6,879.8,888.2,888.2,895.8,896,896,899.4,899.4,899.4,899.4,899.4,,886.6,907,907,911,917.8,918,918,918,918,918,918,918
max_unpool1d,430,,423.2,430,430,430,430,430,430,430,430,430,430,430,,429.8,430,430,430,430,430,430,430,430,430,430,430
max_unpool2d,237,,237,237,237,237,237,237,237,237,237,237,237,237,,237,237,237,237,237,237,237,237,237,237,237,237
max_unpool3d,246,,227,235,235.6,235.6,235.6,235.6,238.4,238.4,238.4,238.4,238.4,238.4,,219.8,234.2,234.6,235.4,236.6,236.6,238.8,243.8,246,246,246,246
mish,183,,183,183,183,183,183,183,183,183,183,183,183,183,,183,183,183,183,183,183,183,183,183,183,183,183
mse_loss,1051,,1045.2,1046.6,1047.6,1049.8,1049.8,1049.8,1050.4,1050.4,1050.6,1051,1051,1051,,1044.8,1045.6,1046.2,1046.2,1047.4,1047.4,1047.4,1047.4,1047.4,1047.4,1047.4,1048.4
multilabel_margin_loss,486.6,,484.4,485.6,486.2,486.2,486.6,486.6,486.6,486.6,486.6,486.6,486.6,486.6,,482.6,483.4,483.8,484.6,484.6,485.4,485.6,485.6,485.6,485.6,485.6,485.6
multilabel_soft_margin_loss,1150.8,,1145,1146.2,1147.2,1147.2,1147.4,1149.4,1150.6,1150.6,1150.8,1150.8,1150.8,1150.8,,1145.8,1146.8,1149.6,1149.8,1150,1150,1150,1150.2,1150.2,1150.2,1150.2,1150.2
nll_loss,1265.6,,722.8,826.2,930,1006.4,1112.4,1158.6,1189.6,1217,1232.2,1232.8,1249.4,1265.6,,736,893.8,939.4,969.6,1000.4,1048,1085.2,1141.8,1151.8,1165.2,1202.2,1215
normalize,1323.6,,1319,1320.2,1321,1321,1321.4,1321.4,1321.4,1321.4,1321.4,1321.4,1321.4,1321.4,,1319,1319.2,1320.4,1320.4,1322,1322,1322.8,1322.8,1322.8,1322.8,1322.8,1323.6
pad,1894,,1848.8,1861.2,1879.4,1881.6,1886.6,1887.6,1892,1892.6,1893.8,1893.8,1893.8,1894,,1821.4,1849.8,1863.6,1864.2,1875.4,1879.6,1879.6,1882,1882.4,1883,1884.6,1885.2
